RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea,ReasonHaulDisruption,DateofCalculation
HH,BITS,1,PL,67BC,TVL,75,-9,T,26211,1,2020,2,4,1046,11,15,D,54.5050,19.2850,54.5083,19.3067,38G9,72,V,34,1,1,C,7.0000,-9,-9,1453,235,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,73,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.4,5.6,7.46,8.05,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26256,2,2020,2,5,0653,11,30,D,54.4667,19.3650,54.4533,19.3333,37G9,63,V,38,1,1,C,7.0000,-9,-9,2540,200,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,232,2.7000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.4,5.1,7.45,7.56,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26258,3,2020,2,5,1036,11,30,D,54.4500,19.3083,54.4633,19.3417,37G9,64,V,39,1,1,C,7.0000,-9,-9,2624,185,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,55,2.8000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.5,5.1,7.45,7.54,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26015,4,2020,2,5,1320,11,30,D,54.4833,19.3350,54.4700,19.3067,37G9,68,V,40,1,1,C,7.0000,-9,-9,2357,225,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,233,2.6000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.5,5.1,7.44,7.55,Y,43,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26217,5,2020,2,6,0650,10,30,D,54.4100,19.2433,54.4117,19.2867,37G9,42,V,41,1,1,C,7.0000,-9,-9,2824,150,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,84,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.2,5.2,7.39,7.45,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26269,6,2020,2,6,1026,12,30,D,54.5917,19.1733,54.5850,19.2133,38G9,82,V,42,1,1,C,7.0000,-9,-9,2691,250,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,106,2.9000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.6,8.2,7.48,11.75,Y,61,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LT,AA36,TVS,-9,-9,-9,26028,1,2020,3,5,0610,10,30,D,55.6916,20.6750,55.7016,20.6266,40H0,49,V,1,1,1,R,-9.0000,-9,-9,3231,-9,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,290,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,225,8,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LT,AA36,TVS,-9,-9,-9,26027,2,2020,3,5,0835,10,35,D,55.7850,20.4416,55.7900,20.3866,40H0,51,V,2,1,1,R,-9.0000,-9,-9,3488,-9,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,280,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,225,8,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LT,AA36,TVS,-9,-9,-9,26026,3,2020,3,5,1030,11,40,D,55.7900,20.2650,55.7833,20.2066,40H0,62,V,3,1,1,R,-9.0000,-9,-9,3726,-9,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,266,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,225,10,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LT,AA36,TVS,-9,-9,-9,26158,4,2020,3,5,1230,11,30,D,55.8800,20.0716,55.8616,20.1033,40H0,60,V,4,1,1,R,-9.0000,-9,-9,2842,-9,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,316,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,225,8,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
